 ,roi
 ,❤❤❤😍😍😍
 ,Cảm động vãi
 ,Sao cô bé lại lạc ở đây??? 😊
 ,Ăn cái gậy của anh
 ,giống bài đom đóm của jack
 ,Xin tên bản nhạc nền đi admin hay quá...
 ,Tôi xém khóc
 ,Em rơi hết nước mắt rồi
 ,☺️♥️❤️🧡💛💜💙💚💗💕💞💓💗💖🌺
 ,❤️💙💚💛🧡💜💗💝😄
 ,Toc va vay len roi
 ,Quahay
 ,Mình nhớ bộ phim này còn có một bài hát tên là Hatoru nữa thì phải các bạn cứ nghe thử đi
 ,Quá buồn luôn 😭
 ,Câu chuyện thật buồn thật sự tôi đã khóc 😢🖤 tôi sẽ luôn nhớ câu chuyện này trong tim ❤️
 ,Xem bộ phim này tui buồn chết😭😭😭
 ,Toi xem phim nay roi
 ,Lãng mạn quá😞😞😞
 ,Phim này mình coi rồi hay nắm mà ko được tải chán thế
 ,Em xem từ hồi lớp2 òi
 ,Phim tên j vậy
 ,😣😣😣😣😣😓
 ,Phim hay quá 👍
 ,Hồi bữa tui coi gachaculd i chang như dầy luôn bây giờ mới tìm đc bản gốc
 ,Mik thích phim ni lắm luôn  á
Emotion,Sentence
 ,"Nhiều bạn yêu cầu anime quá, bạn còn phim nào đề xuất mình nhé"
 ,Như MV ĐOM ĐÓM
 ,"ngày xưa tôi luôn thích xem anime bởi mỗi một bộ phim là một câu chuyện rất cảm động, hồi đấy chỉ xem rồi cười thôi nhưng giờ xem rồi lại buồn"
 ,Và cái này gần tương đương với yêu nhau trên mạng :))))
 ,"Mình đã koi phim này rất nhiều lần
Những mình vẫn ko thể ngừng khóc"
 ,Cho mik xin tên anime để xem từ từ đc hong 😶🥺
 ,Bộ phim rừng dom đố mình tìm hoài ko thấy nhỉ
 ,BỘ PHIM HAY QUÁ
 ,😢😢😢😢
 ,Hay quá đi à 🌋🌋🌋❤️❤️❤️
 ,Anime
 ,Coi đi coi lại mấy lần nhưng vẫn buồn
 ,Ước gì có main hồi sinh hai người sống bên nhau 😢😢😢😢
 ,Tội con bé bị đánh hoài 😅😅
 ,"Nhạc hợp phim wa, cho mình xin tên zới . Xem phim mà khóc nhỉ."
 ,Mới hẹn hò đã chia ly
 ,Hay nhüng höi buon
 ,"Hồi bé xem phim, chỉ thấy nam chính tự dưng biến mất, xong nữ chính ngồi khóc, cx khóc theo
Giờ xem lại, mới hiểu được hết ý nghĩa của bộ phim.
Cảm động thực sự"
 ,Tóm tắt phim ma thái lan đi  ạ
 ,Phim cảm động và buồn ước j cặp đôi đó đc ở bên nhau 😭
 ,"Bộ phim cảm động quá:(((
Tui khóc luôn rồi 😿"
 ,Có tập 2 không?
 ,"Sao lâu vậy mà tóc chị ấy ko dài ra nhỉ ,nếu dài ra thì sẽ xong hơn 🌽🥕🍞🥐🥖🌰🍄🍎🍅🍊🍋🍌🍍🥝🍓🍒🍑🍐🍎"
 ,😭😭😭 huhi
 ,Ch
 ,Buồn lắm cơ
 ,KhócTwT
 ,Cái ôm đầu tiên và cũng là cái ôm cuối cùng
 ,Sao mọi người khóc đc hay z :(( tui coi xong cũng thấy buồn nma không đến nỗi khóc
 ,Hi
 ,Hay đấy ☺️☺️☺️☺️☺️☺️
 ,Name pls?
 ,Ad để nhạc nền nhỏ thôi:))
 ,t muốn khóc
 ,"Buồn mà mún kiện ông tác giả:((
Trời ơi. Diễn biến chia xa đột ngột quá trời
Chắc tui chết:(("
 ,Nhỏ d tránh trong câu chuyện bị khùng à
 ,Coi bao nhiêu lần lần nào cũng khóc ^^
 ,"Đó là bài Nhật Bản mà,tôi quên mất tên rồi"
 ,Mình coi phiên bản chính rồi khi đó coi đến phần cuối thế là mình khóc đỏ mặt luôn ý phim này cảm động mà còn hay mình thích phim này
 ,Buồn quá 😔😔😔😔😔
 ,Có bn nào còn xem giống mình chào nhau nha mn mình chào mn  nha 😁😁
 ,Xem xong ngồi khóc như mưa 😭😭😭👻👻
 ,Híc híc
 ,Kênh này  cũng  có  phím cảm  động  đó  là  Tên cậu  là  gì 😇
 ,Tôi cứ  xem lại  xem đi  vì  hay quá  Đi kênh nay tom tắt  phim  thật  là  hay
 ,cj đăng nhìu video giống z nhaaa ><❤
 ,Tui xem muốn khóc nhưng ko khóc đc
 ,Huu
 ,1 bộ phim hay chắc cũng lấy đi nc mắt của nhiều người nếu họ đến đc với nhau chắc sẽ ko có cái kết buồn như z
 ,Huhuhuhuhuhu buồn quá
 ,Bộ phim này mik coi rồi và mik đã khóc rất nhiều
 ,Hay quá  muốn  khóc luôn
 ,"Phim này mình không có khóc, chỉ có cảm giác man mác buồn khó tả thôi."
 ,dù là hư cấu nhưng tôi đã khóc =((((
 ,CSCSCS
 ,😭😭😭
 ,wow hay quá😊😊
 ,Film hay thế nhể❤️
 ,"đg HAY VÀ QUÁ ĐẸP ĐÔI mừ😢
cái kết quá buồn cho chuyện tình."
 ,Đoạn cuối buồn rơi cả nước mắt :(
 ,i cry so much because gin is dead
 ,Phim này tên j v
 ,Ước j có phần 2 😿
 ,"Tui chỉ xem review thôi, xem đoạn ôm nhau mà khóc sướt mướt nửa tiếng :(((( Tui mít ướt quá không huhu :(((("
 ,Đom đóm của Jack.
 ,Liệu bây giờ Hotaru như thế nào rồi nhỉ còn vào khu rừng xanh đó nữa không
 ,Tác phẩm jack là đây chứ đâu đúng k đóm
 ,Anime xuất sắc
 ,Cám động quá chiếu nữa đi
 ,Chạm vào tha thằng đeo mặt nạ là nố mất bởi vì thằng đó là đom đóm cái này có bài hát
 ,Làm bộ tháng tư là lời nối dối của em đi ạ
 ,Thử yêu xa đi 🙃🙃😊
 ,Huhu cảm động púa 😢😫😭
 ,Em xem r
 ,roi
 ,❤❤❤😍😍😍
 ,Cảm động vãi
 ,Sao cô bé lại lạc ở đây??? 😊
 ,Ăn cái gậy của anh
 ,giống bài đom đóm của jack
 ,Xin tên bản nhạc nền đi admin hay quá...
 ,Tôi xém khóc
 ,Em rơi hết nước mắt rồi
 ,☺️♥️❤️🧡💛💜💙💚💗💕💞💓💗💖🌺
 ,❤️💙💚💛🧡💜💗💝😄
 ,Toc va vay len roi
 ,Quahay
 ,Mình nhớ bộ phim này còn có một bài hát tên là Hatoru nữa thì phải các bạn cứ nghe thử đi
 ,Quá buồn luôn 😭
 ,Câu chuyện thật buồn thật sự tôi đã khóc 😢🖤 tôi sẽ luôn nhớ câu chuyện này trong tim ❤️
 ,Xem bộ phim này tui buồn chết😭😭😭
 ,Toi xem phim nay roi
 ,Lãng mạn quá😞😞😞
 ,Phim này mình coi rồi hay nắm mà ko được tải chán thế
 ,Em xem từ hồi lớp2 òi
 ,Phim tên j vậy
 ,😣😣😣😣😣😓
 ,Phim hay quá 👍
 ,Hồi bữa tui coi gachaculd i chang như dầy luôn bây giờ mới tìm đc bản gốc
 ,Mik thích phim ni lắm luôn  á
Emotion,Sentence
 ,"Nhiều bạn yêu cầu anime quá, bạn còn phim nào đề xuất mình nhé"
 ,🥰🥰🥰🥰🥰🥰🥰🥰🥰😭😭😭
 ,"Xem bộ phim này tui khóc luôn, nam chính đẹp trai nhưng chỉ tiếc là ko được ở bên nữ chính 😔"
 ,Như MV ĐOM ĐÓM
 ,"ngày xưa tôi luôn thích xem anime bởi mỗi một bộ phim là một câu chuyện rất cảm động, hồi đấy chỉ xem rồi cười thôi nhưng giờ xem rồi lại buồn"
 ,Và cái này gần tương đương với yêu nhau trên mạng :))))
 ,"Mình đã koi phim này rất nhiều lần
Những mình vẫn ko thể ngừng khóc"
 ,Cho mik xin tên anime để xem từ từ đc hong 😶🥺
 ,Bộ phim rừng dom đố mình tìm hoài ko thấy nhỉ
 ,BỘ PHIM HAY QUÁ
 ,😢😢😢😢
 ,Hay quá đi à 🌋🌋🌋❤️❤️❤️
 ,Anime
 ,Coi đi coi lại mấy lần nhưng vẫn buồn
 ,Ước gì có main hồi sinh hai người sống bên nhau 😢😢😢😢
 ,Tội con bé bị đánh hoài 😅😅
 ,"Nhạc hợp phim wa, cho mình xin tên zới . Xem phim mà khóc nhỉ."
 ,Mới hẹn hò đã chia ly
 ,Hay nhüng höi buon
 ,"Hồi bé xem phim, chỉ thấy nam chính tự dưng biến mất, xong nữ chính ngồi khóc, cx khóc theo
Giờ xem lại, mới hiểu được hết ý nghĩa của bộ phim.
Cảm động thực sự"
 ,Tóm tắt phim ma thái lan đi  ạ
 ,Phim cảm động và buồn ước j cặp đôi đó đc ở bên nhau 😭
 ,"Bộ phim cảm động quá:(((
Tui khóc luôn rồi 😿"
 ,Có tập 2 không?
 ,"Sao lâu vậy mà tóc chị ấy ko dài ra nhỉ ,nếu dài ra thì sẽ xong hơn 🌽🥕🍞🥐🥖🌰🍄🍎🍅🍊🍋🍌🍍🥝🍓🍒🍑🍐🍎"
 ,😭😭😭 huhi
 ,Ch
 ,Buồn lắm cơ
 ,KhócTwT
 ,Cái ôm đầu tiên và cũng là cái ôm cuối cùng
 ,Sao mọi người khóc đc hay z :(( tui coi xong cũng thấy buồn nma không đến nỗi khóc
 ,Hi
 ,Hay đấy ☺️☺️☺️☺️☺️☺️
 ,Name pls?
 ,Ad để nhạc nền nhỏ thôi:))
 ,t muốn khóc
 ,"Buồn mà mún kiện ông tác giả:((
Trời ơi. Diễn biến chia xa đột ngột quá trời
Chắc tui chết:(("
 ,Nhỏ d tránh trong câu chuyện bị khùng à
 ,Coi bao nhiêu lần lần nào cũng khóc ^^
 ,"Đó là bài Nhật Bản mà,tôi quên mất tên rồi"
 ,Mình coi phiên bản chính rồi khi đó coi đến phần cuối thế là mình khóc đỏ mặt luôn ý phim này cảm động mà còn hay mình thích phim này
 ,Buồn quá 😔😔😔😔😔
 ,Có bn nào còn xem giống mình chào nhau nha mn mình chào mn  nha 😁😁
 ,Xem xong ngồi khóc như mưa 😭😭😭👻👻
 ,Híc híc
 ,Kênh này  cũng  có  phím cảm  động  đó  là  Tên cậu  là  gì 😇
 ,Tôi cứ  xem lại  xem đi  vì  hay quá  Đi kênh nay tom tắt  phim  thật  là  hay
 ,cj đăng nhìu video giống z nhaaa ><❤
 ,Tui xem muốn khóc nhưng ko khóc đc
 ,Huu
 ,1 bộ phim hay chắc cũng lấy đi nc mắt của nhiều người nếu họ đến đc với nhau chắc sẽ ko có cái kết buồn như z
 ,Huhuhuhuhuhu buồn quá
 ,Bộ phim này mik coi rồi và mik đã khóc rất nhiều
 ,Hay quá  muốn  khóc luôn
 ,"Phim này mình không có khóc, chỉ có cảm giác man mác buồn khó tả thôi."
 ,dù là hư cấu nhưng tôi đã khóc =((((
 ,CSCSCS
 ,😭😭😭
 ,wow hay quá😊😊
 ,Film hay thế nhể❤️
 ,"đg HAY VÀ QUÁ ĐẸP ĐÔI mừ😢
cái kết quá buồn cho chuyện tình."
 ,Đoạn cuối buồn rơi cả nước mắt :(
 ,i cry so much because gin is dead
 ,Phim này tên j v
 ,Ước j có phần 2 😿
 ,"Tui chỉ xem review thôi, xem đoạn ôm nhau mà khóc sướt mướt nửa tiếng :(((( Tui mít ướt quá không huhu :(((("
 ,Đom đóm của Jack.
 ,Liệu bây giờ Hotaru như thế nào rồi nhỉ còn vào khu rừng xanh đó nữa không
 ,Tác phẩm jack là đây chứ đâu đúng k đóm
 ,Anime xuất sắc
 ,Cám động quá chiếu nữa đi
 ,Chạm vào tha thằng đeo mặt nạ là nố mất bởi vì thằng đó là đom đóm cái này có bài hát
 ,Làm bộ tháng tư là lời nối dối của em đi ạ
 ,Thử yêu xa đi 🙃🙃😊
 ,Huhu cảm động púa 😢😫😭
 ,Em xem r
 ,roi
 ,❤❤❤😍😍😍
 ,Cảm động vãi
 ,Sao cô bé lại lạc ở đây??? 😊
 ,Ăn cái gậy của anh
 ,giống bài đom đóm của jack
 ,Xin tên bản nhạc nền đi admin hay quá...
 ,Tôi xém khóc
 ,Em rơi hết nước mắt rồi
 ,☺️♥️❤️🧡💛💜💙💚💗💕💞💓💗💖🌺
 ,❤️💙💚💛🧡💜💗💝😄
 ,Toc va vay len roi
 ,Quahay
 ,Mình nhớ bộ phim này còn có một bài hát tên là Hatoru nữa thì phải các bạn cứ nghe thử đi
 ,Quá buồn luôn 😭
 ,Câu chuyện thật buồn thật sự tôi đã khóc 😢🖤 tôi sẽ luôn nhớ câu chuyện này trong tim ❤️
 ,Xem bộ phim này tui buồn chết😭😭😭
 ,Toi xem phim nay roi
 ,Lãng mạn quá😞😞😞
 ,Phim này mình coi rồi hay nắm mà ko được tải chán thế
 ,Em xem từ hồi lớp2 òi
 ,Phim tên j vậy
 ,😣😣😣😣😣😓
 ,Phim hay quá 👍
Emotion,Sentence
 ,"Nhiều bạn yêu cầu anime quá, bạn còn phim nào đề xuất mình nhé"
 ,🥰🥰🥰🥰🥰🥰🥰🥰🥰😭😭😭
 ,"Xem bộ phim này tui khóc luôn, nam chính đẹp trai nhưng chỉ tiếc là ko được ở bên nữ chính 😔"
 ,Như MV ĐOM ĐÓM
 ,"ngày xưa tôi luôn thích xem anime bởi mỗi một bộ phim là một câu chuyện rất cảm động, hồi đấy chỉ xem rồi cười thôi nhưng giờ xem rồi lại buồn"
 ,Và cái này gần tương đương với yêu nhau trên mạng :))))
 ,"Mình đã koi phim này rất nhiều lần
Những mình vẫn ko thể ngừng khóc"
 ,Cho mik xin tên anime để xem từ từ đc hong 😶🥺
 ,Bộ phim rừng dom đố mình tìm hoài ko thấy nhỉ
 ,BỘ PHIM HAY QUÁ
 ,😢😢😢😢
 ,Hay quá đi à 🌋🌋🌋❤️❤️❤️
 ,Anime
 ,Coi đi coi lại mấy lần nhưng vẫn buồn
 ,Ước gì có main hồi sinh hai người sống bên nhau 😢😢😢😢
 ,Tội con bé bị đánh hoài 😅😅
 ,"Nhạc hợp phim wa, cho mình xin tên zới . Xem phim mà khóc nhỉ."
 ,Mới hẹn hò đã chia ly
 ,Hay nhüng höi buon
 ,"Hồi bé xem phim, chỉ thấy nam chính tự dưng biến mất, xong nữ chính ngồi khóc, cx khóc theo
Giờ xem lại, mới hiểu được hết ý nghĩa của bộ phim.
Cảm động thực sự"
 ,Tóm tắt phim ma thái lan đi  ạ
 ,Phim cảm động và buồn ước j cặp đôi đó đc ở bên nhau 😭
 ,"Bộ phim cảm động quá:(((
Tui khóc luôn rồi 😿"
 ,Có tập 2 không?
 ,"Sao lâu vậy mà tóc chị ấy ko dài ra nhỉ ,nếu dài ra thì sẽ xong hơn 🌽🥕🍞🥐🥖🌰🍄🍎🍅🍊🍋🍌🍍🥝🍓🍒🍑🍐🍎"
 ,😭😭😭 huhi
 ,Ch
 ,Buồn lắm cơ
 ,KhócTwT
 ,Cái ôm đầu tiên và cũng là cái ôm cuối cùng
 ,Sao mọi người khóc đc hay z :(( tui coi xong cũng thấy buồn nma không đến nỗi khóc
 ,Hi
 ,Hay đấy ☺️☺️☺️☺️☺️☺️
 ,Name pls?
 ,Ad để nhạc nền nhỏ thôi:))
 ,t muốn khóc
 ,"Buồn mà mún kiện ông tác giả:((
Trời ơi. Diễn biến chia xa đột ngột quá trời
Chắc tui chết:(("
 ,Nhỏ d tránh trong câu chuyện bị khùng à
 ,Coi bao nhiêu lần lần nào cũng khóc ^^
 ,"Đó là bài Nhật Bản mà,tôi quên mất tên rồi"
 ,Mình coi phiên bản chính rồi khi đó coi đến phần cuối thế là mình khóc đỏ mặt luôn ý phim này cảm động mà còn hay mình thích phim này
 ,Buồn quá 😔😔😔😔😔
 ,Có bn nào còn xem giống mình chào nhau nha mn mình chào mn  nha 😁😁
 ,Xem xong ngồi khóc như mưa 😭😭😭👻👻
 ,Híc híc
 ,Kênh này  cũng  có  phím cảm  động  đó  là  Tên cậu  là  gì 😇
 ,Tôi cứ  xem lại  xem đi  vì  hay quá  Đi kênh nay tom tắt  phim  thật  là  hay
 ,cj đăng nhìu video giống z nhaaa ><❤
 ,Tui xem muốn khóc nhưng ko khóc đc
 ,Huu
 ,1 bộ phim hay chắc cũng lấy đi nc mắt của nhiều người nếu họ đến đc với nhau chắc sẽ ko có cái kết buồn như z
 ,Huhuhuhuhuhu buồn quá
 ,Bộ phim này mik coi rồi và mik đã khóc rất nhiều
 ,Hay quá  muốn  khóc luôn
 ,"Phim này mình không có khóc, chỉ có cảm giác man mác buồn khó tả thôi."
 ,dù là hư cấu nhưng tôi đã khóc =((((
 ,CSCSCS
 ,😭😭😭
 ,wow hay quá😊😊
 ,Film hay thế nhể❤️
 ,"đg HAY VÀ QUÁ ĐẸP ĐÔI mừ😢
cái kết quá buồn cho chuyện tình."
 ,Đoạn cuối buồn rơi cả nước mắt :(
 ,i cry so much because gin is dead
 ,Phim này tên j v
 ,Ước j có phần 2 😿
 ,"Tui chỉ xem review thôi, xem đoạn ôm nhau mà khóc sướt mướt nửa tiếng :(((( Tui mít ướt quá không huhu :(((("
 ,Đom đóm của Jack.
 ,Liệu bây giờ Hotaru như thế nào rồi nhỉ còn vào khu rừng xanh đó nữa không
 ,Tác phẩm jack là đây chứ đâu đúng k đóm
 ,Anime xuất sắc
 ,Cám động quá chiếu nữa đi
 ,Chạm vào tha thằng đeo mặt nạ là nố mất bởi vì thằng đó là đom đóm cái này có bài hát
 ,Làm bộ tháng tư là lời nối dối của em đi ạ
 ,Thử yêu xa đi 🙃🙃😊
 ,Huhu cảm động púa 😢😫😭
 ,Em xem r
 ,roi
 ,❤❤❤😍😍😍
 ,Cảm động vãi
 ,Sao cô bé lại lạc ở đây??? 😊
 ,Ăn cái gậy của anh
 ,giống bài đom đóm của jack
 ,Xin tên bản nhạc nền đi admin hay quá...
 ,Tôi xém khóc
 ,Em rơi hết nước mắt rồi
 ,☺️♥️❤️🧡💛💜💙💚💗💕💞💓💗💖🌺
 ,❤️💙💚💛🧡💜💗💝😄
 ,Toc va vay len roi
 ,Quahay
 ,Mình nhớ bộ phim này còn có một bài hát tên là Hatoru nữa thì phải các bạn cứ nghe thử đi
 ,Quá buồn luôn 😭
 ,Câu chuyện thật buồn thật sự tôi đã khóc 😢🖤 tôi sẽ luôn nhớ câu chuyện này trong tim ❤️
 ,Xem bộ phim này tui buồn chết😭😭😭
 ,Toi xem phim nay roi
 ,Lãng mạn quá😞😞😞
 ,Phim này mình coi rồi hay nắm mà ko được tải chán thế
 ,Em xem từ hồi lớp2 òi
 ,Phim tên j vậy
 ,😣😣😣😣😣😓
 ,Phim hay quá 👍
